svensk,german,optional,page,chapter
elev,Schüler/in,"(-en, -er, -erna)",0,0
foto,Photo,"(-t, -n, -na)",8,0
och,und,"",8,0
Ursäkta.,Entschuldigung.,"",0,0
rivstart,Blitzstart,"(-en, -er, -erna)",0,0
ord,Wort,"(-et, –, -en)",8,0
hamburgare,Hamburger,"(-n, –, hamburgarna)",8,0
sida,Seite,"(-n, -or, -orna)",0,0
Kapitel,1,"",0,0
advokat,Anwalt/Anwältin,"(-en, -er, -erna)",8,0
kapitel,Kapitel,"(kapitlet, –, kapitlen)",0,0
kunna,können,"(kan, kunde, kunnat)",8,0
kombinera,kombinieren,"(-r, -de, -t)",8,0
mobil,Handy,"(-en, -er, -erna)",8,0
potatis,Kartoffel,"(-en, -ar, -arna)",8,0
svenska,Schwedisch,"",8,0
kaffe,Kaffee,(-et),8,0
bok,Buch,"(-en, böcker, böckerna)",8,0
lärare,Lehrer/in,"(-n, –, -lärarna)",0,0
papper,Papier,"(-et, –, -en)",8,0
vatten,Wasser,(vattnet),8,0
kanelbulle,Zimtschnecke,"(-n, -ar, -arna)",8,0
penna,Stift,"(-n, -or, -orna)",8,0
lång,lang,"(-t, -a)",8,0
vokal,Vokal,"(-en, -er, -erna)",8,0
konsonant,Konsonant,"(-en, -er, -erna)",8,0
exempel,Beispiel,"(exemplet, –, exemplen)",8,0
eller,oder,"",8,0
på,auf,"",9,0
heta,heißen,"(heter, hette, hetat)",9,0
kurs,Kurs,"(-en, -er, -erna)",9,0
Hej!,Hallo!,"",9,0
jag,ich,"",9,0
från,aus,"",9,0
varifrån,woher,"",9,0
komma,kommen,"(kommer, kom, kommit)",9,0
jaha,aha,"",9,0
nej,nein,"",9,0
språk,Sprache,"(-et, –, -en)",9,0
spanska,Spanisch,"",9,0
vad,was,"",9,0
tala,sprechen,"(-r, -de, -t)",9,0
vara,sein,"(är, var, varit)",9,0
var,wo,"",9,0
ligga,liegen,"(ligger, låg, legat)",9,0
i,in,"",9,0
det,das,"",9,0
italienska,Italienisch,"",9,0
norra,nördlich,"",9,0
Italien,Italien,"",9,0
prata,reden,"(-r, -de, -t)",9,0
lyssna,zuhören,"(-r, -de, -t)",9,0
dialog,Dialog,"(-en, -er, -erna)",9,0
vilken,welcher,"(vilket, vilka)",9,0
betoning,Betonung,"(-en, -ar, -arna)",9,0
igen,nochmal,"",9,0
ha,haben,"(har, hade, haft)",9,0
uttala,aussprechen,"(-ar, -de, -t)",9,0
markera,markieren,"(-r, -de, -t)",9,0
titta,gucken,"(-r, -de, -t)",10,2
ruta,Kästchen,"(-n, -or, -orna)",10,2
inte,nicht,"",9,0
se,sehen,"(ser, såg, sett)",10,2
ett,ein,"",10,2
här,hier,"",10,2
nedanför,drunter,"",10,2
system,System,"(-et, –, -en)",10,2
för,für,"",10,2
verb,Verb,"(-et, –, en)",10,2
läsa,lesen,"(-er, -te, -t)",10,2
sätta,setzten,"(-er, satte, satt)",10,2
position,Position,"(-en, -er, -erna)",10,2
fråga,fragen,"(-r, -de, -t)",10,2
alla,alle,"",10,2
mingla,"mingeln, sich unter die Menge mischen, oberflächlichen Umgang pflegen","(-r, -de, -t)",10,2
svara,antworten,"(-r, -de, -t)",10,2
frågeord,Fragewort,"( -et, –, -en)",10,2
skriva,schreiben,"(skriver, skrev, skrivit)",10,2
namn,Name,"(-et, –, -en)",10,2
grupp,Gruppe,"(-en, -er, -erna)",10,2
land,Land,"(-et, länder, länderna)",10,2
Colombia,Kolumbien,"",10,2
Irland,Irland,"",10,2
presentera,vorstellen,"(-r, -de, -t)",11,2
franska,Französisch,"",10,2
han,er,"",11,2
varandra,einander,"",11,2
hon,sie,"",11,2
det,es,"",11,2
